1084
0.186041 5.350814 5.512645  0.180586 5.328876 5.521487  0.172294 5.331795 5.510282
-0.242813 5.178960 5.359989  -0.213404 5.177911 5.577834  -0.183755 5.314759 5.450796
-0.183755 5.314759 5.450796  -0.213404 5.177911 5.577834  -0.184139 5.310199 5.496911
-0.176009 5.158762 5.792537  -0.146730 5.301517 5.782171  -0.213404 5.177911 5.577834
-0.146730 5.301517 5.782171  -0.176132 5.326977 5.566554  -0.213404 5.177911 5.577834
-0.176132 5.326977 5.566554  -0.184139 5.310199 5.496911  -0.213404 5.177911 5.577834
-0.176132 5.326977 5.566554  -0.179481 5.328876 5.521487  -0.184139 5.310199 5.496911
-0.176132 5.326977 5.566554  -0.184936 5.350814 5.512645  -0.179481 5.328876 5.521487
-0.184936 5.350814 5.512645  -0.171189 5.331795 5.510282  -0.179481 5.328876 5.521487
-0.171189 5.331795 5.510282  -0.175924 5.319508 5.489593  -0.179481 5.328876 5.521487
-0.179481 5.328876 5.521487  -0.175924 5.319508 5.489593  -0.184139 5.310199 5.496911
-0.175924 5.319508 5.489593  -0.173432 5.322508 5.459254  -0.184139 5.310199 5.496911
-0.184139 5.310199 5.496911  -0.173432 5.322508 5.459254  -0.183755 5.314759 5.450796
-0.120625 5.149232 5.974926  -0.110374 5.236773 5.951911  -0.176009 5.158762 5.792537
-0.176009 5.158762 5.792537  -0.110374 5.236773 5.951911  -0.146730 5.301517 5.782171
-0.110374 5.236773 5.951911  -0.089894 5.319004 5.910044  -0.146730 5.301517 5.782171
-0.089894 5.319004 5.910044  -0.123208 5.425508 5.776715  -0.146730 5.301517 5.782171
-0.146730 5.301517 5.782171  -0.123208 5.425508 5.776715  -0.176132 5.326977 5.566554
-0.123208 5.425508 5.776715  -0.135642 5.463428 5.556611  -0.176132 5.326977 5.566554
-0.176132 5.326977 5.566554  -0.135642 5.463428 5.556611  -0.184936 5.350814 5.512645
-0.135642 5.463428 5.556611  -0.183072 5.367970 5.482315  -0.184936 5.350814 5.512645
-0.183072 5.367970 5.482315  -0.164776 5.342854 5.507930  -0.184936 5.350814 5.512645
-0.184936 5.350814 5.512645  -0.164776 5.342854 5.507930  -0.171189 5.331795 5.510282
0.000552 5.467007 5.773975  -0.135642 5.463428 5.556611  -0.123208 5.425508 5.776715
-0.183755 5.314759 5.450796  -0.173432 5.322508 5.459254  -0.169373 5.335752 5.441651
0.000552 5.508457 5.560236  -0.135642 5.463428 5.556611  0.000552 5.467007 5.773975
0.000552 5.506030 5.351963  -0.144352 5.481108 5.352914  0.000552 5.508457 5.560236
-0.144352 5.481108 5.352914  -0.135642 5.463428 5.556611  0.000552 5.508457 5.560236
-0.144352 5.481108 5.352914  -0.183072 5.367970 5.482315  -0.135642 5.463428 5.556611
-0.208315 5.346766 5.325949  -0.144352 5.481108 5.352914  -0.194012 5.343316 5.252961
-0.194012 5.343316 5.252961  -0.144352 5.481108 5.352914  -0.111289 5.466691 5.236292
-0.144352 5.481108 5.352914  0.000552 5.506030 5.351963  -0.111289 5.466691 5.236292
-0.111289 5.466691 5.236292  0.000552 5.506030 5.351963  0.000552 5.486832 5.238995
-0.183755 5.314759 5.450796  -0.189246 5.334890 5.424040  -0.242813 5.178960 5.359989
-0.242813 5.178960 5.359989  -0.189246 5.334890 5.424040  -0.208315 5.346766 5.325949
-0.189246 5.334890 5.424040  -0.188875 5.365792 5.440436  -0.208315 5.346766 5.325949
-0.208315 5.346766 5.325949  -0.188875 5.365792 5.440436  -0.144352 5.481108 5.352914
-0.144352 5.481108 5.352914  -0.188875 5.365792 5.440436  -0.183072 5.367970 5.482315
-0.188875 5.365792 5.440436  -0.170116 5.358820 5.479991  -0.183072 5.367970 5.482315
-0.183072 5.367970 5.482315  -0.170116 5.358820 5.479991  -0.164776 5.342854 5.507930
-0.170116 5.358820 5.479991  -0.188875 5.365792 5.440436  -0.164205 5.347423 5.446837
-0.188875 5.365792 5.440436  -0.189246 5.334890 5.424040  -0.164205 5.347423 5.446837
-0.164205 5.347423 5.446837  -0.189246 5.334890 5.424040  -0.169373 5.335752 5.441651
-0.189246 5.334890 5.424040  -0.183755 5.314759 5.450796  -0.169373 5.335752 5.441651
0.000552 5.467007 5.773975  -0.123208 5.425508 5.776715  0.000552 5.363750 5.877015
-0.123208 5.425508 5.776715  -0.089894 5.319004 5.910044  0.000552 5.363750 5.877015
0.000552 5.363750 5.877015  -0.089894 5.319004 5.910044  0.000552 5.298597 5.959337
-0.089894 5.319004 5.910044  -0.110374 5.236773 5.951911  0.000552 5.298597 5.959337
0.000552 5.298597 5.959337  -0.110374 5.236773 5.951911  0.000552 5.207813 5.996355
-0.110374 5.236773 5.951911  -0.120625 5.149232 5.974926  0.000552 5.207813 5.996355
0.000552 5.207813 5.996355  -0.120625 5.149232 5.974926  0.000552 5.147355 6.016570
0.000552 5.147355 6.016570  -0.120625 5.149232 5.974926  -0.115305 5.116644 5.972466
-0.115305 5.116644 5.972466  -0.120625 5.149232 5.974926  -0.166885 5.104903 5.794520
-0.120625 5.149232 5.974926  -0.176009 5.158762 5.792537  -0.166885 5.104903 5.794520
-0.166885 5.104903 5.794520  -0.176009 5.158762 5.792537  -0.207760 5.071384 5.600561
-0.176009 5.158762 5.792537  -0.213404 5.177911 5.577834  -0.207760 5.071384 5.600561
-0.207760 5.071384 5.600561  -0.213404 5.177911 5.577834  -0.228488 5.060950 5.393886
-0.213404 5.177911 5.577834  -0.242813 5.178960 5.359989  -0.228488 5.060950 5.393886
-0.228488 5.060950 5.393886  -0.242813 5.178960 5.359989  -0.225866 5.060486 5.300586
-0.225866 5.060486 5.300586  -0.242813 5.178960 5.359989  -0.229354 5.168332 5.290733
-0.242813 5.178960 5.359989  -0.208315 5.346766 5.325949  -0.229354 5.168332 5.290733
-0.229354 5.168332 5.290733  -0.208315 5.346766 5.325949  -0.194012 5.343316 5.252961
-0.228488 5.060950 5.393886  -0.225866 5.060486 5.300586  -0.207610 5.004085 5.305796
0.000552 5.119826 6.008332  0.000552 5.147355 6.016570  -0.115305 5.116644 5.972466
-0.075043 4.936242 5.304269  -0.221168 4.981248 5.427523  -0.207610 5.004085 5.305796
-0.207610 5.004085 5.305796  -0.221168 4.981248 5.427523  -0.228488 5.060950 5.393886
-0.228488 5.060950 5.393886  -0.221168 4.981248 5.427523  -0.207760 5.071384 5.600561
-0.207760 5.071384 5.600561  -0.221168 4.981248 5.427523  -0.193590 4.955019 5.596189
-0.221168 4.981248 5.427523  -0.068192 4.922152 5.435681  -0.193590 4.955019 5.596189
-0.193590 4.955019 5.596189  -0.068192 4.922152 5.435681  -0.079617 4.917237 5.589666
-0.068192 4.922152 5.435681  0.000552 4.904229 5.442652  -0.079617 4.917237 5.589666
0.000552 4.904229 5.442652  0.000552 4.907383 5.591326  -0.079617 4.917237 5.589666
-0.079617 4.917237 5.589666  0.000552 4.907383 5.591326  -0.096121 4.875328 5.779829
0.000552 4.907383 5.591326  0.000552 4.858449 5.771388  -0.096121 4.875328 5.779829
0.000552 4.858449 5.771388  0.000552 4.828894 5.905109  -0.096121 4.875328 5.779829
-0.096121 4.875328 5.779829  0.000552 4.828894 5.905109  -0.115802 4.856168 5.918238
0.000552 4.828894 5.905109  0.000552 4.881968 5.961633  -0.115802 4.856168 5.918238
0.000552 4.881968 5.961633  0.000552 4.954017 5.994097  -0.115802 4.856168 5.918238
0.000552 4.954017 5.994097  -0.115305 4.960156 5.956709  -0.115802 4.856168 5.918238
-0.115802 4.856168 5.918238  -0.115305 4.960156 5.956709  -0.170571 4.903439 5.785002
-0.115305 4.960156 5.956709  -0.166885 4.992481 5.796257  -0.170571 4.903439 5.785002
-0.170571 4.903439 5.785002  -0.166885 4.992481 5.796257  -0.193590 4.955019 5.596189
-0.166885 4.992481 5.796257  -0.207760 5.071384 5.600561  -0.193590 4.955019 5.596189
-0.193590 4.955019 5.596189  -0.079617 4.917237 5.589666  -0.170571 4.903439 5.785002
-0.079617 4.917237 5.589666  -0.096121 4.875328 5.779829  -0.170571 4.903439 5.785002
-0.170571 4.903439 5.785002  -0.096121 4.875328 5.779829  -0.115802 4.856168 5.918238
0.000552 4.904229 5.442652  -0.068192 4.922152 5.435681  0.000552 4.900849 5.331255
0.000552 4.900849 5.331255  -0.068192 4.922152 5.435681  -0.075043 4.936242 5.304269
-0.075043 4.936242 5.304269  -0.068192 4.922152 5.435681  -0.221168 4.981248 5.427523
0.000552 2.359951 2.650165  -0.181978 2.052655 2.508585  0.000552 1.962465 2.548237
-0.304614 2.494510 2.611460  -0.181978 2.052655 2.508585  0.000552 2.359951 2.650165
-0.721718 3.096043 1.397629  -0.760926 3.202801 1.753953  -0.436546 3.645169 1.201238
-0.760926 3.202801 1.753953  -0.574780 3.487090 1.715118  -0.436546 3.645169 1.201238
-0.436546 3.645169 1.201238  -0.574780 3.487090 1.715118  -0.218287 3.978253 1.038817
-0.574780 3.487090 1.715118  -0.211658 3.919397 1.523671  -0.218287 3.978253 1.038817
-0.218287 3.978253 1.038817  -0.211658 3.919397 1.523671  0.000552 4.022136 1.016413
0.000552 4.022136 1.016413  -0.211658 3.919397 1.523671  0.000552 3.963575 1.494545
-0.211658 3.919397 1.523671  -0.229749 3.791199 2.045722  0.000552 3.963575 1.494545
0.000552 3.963575 1.494545  -0.229749 3.791199 2.045722  0.000552 3.816275 2.014268
0.000552 3.816275 2.014268  -0.229749 3.791199 2.045722  0.000552 3.748950 2.306868
0.000552 3.748950 2.306868  -0.229749 3.791199 2.045722  -0.199163 3.698361 2.310002
-0.199163 3.698361 2.310002  -0.229749 3.791199 2.045722  -0.378969 3.428133 2.524049
-0.229749 3.791199 2.045722  -0.587646 3.358477 2.206042  -0.378969 3.428133 2.524049
-0.378969 3.428133 2.524049  -0.587646 3.358477 2.206042  -0.498458 2.840624 2.561066
-0.587646 3.358477 2.206042  -0.646310 2.782905 2.427978  -0.498458 2.840624 2.561066
-0.498458 2.840624 2.561066  -0.646310 2.782905 2.427978  -0.304614 2.494510 2.611460
-0.646310 2.782905 2.427978  -0.358853 2.133327 2.408684  -0.304614 2.494510 2.611460
-0.304614 2.494510 2.611460  -0.358853 2.133327 2.408684  -0.181978 2.052655 2.508585
-0.358853 2.133327 2.408684  -0.175810 1.735079 2.160992  -0.181978 2.052655 2.508585
-0.760926 3.202801 1.753953  -0.666303 3.153716 2.147183  -0.574780 3.487090 1.715118
-0.666303 3.153716 2.147183  -0.587646 3.358477 2.206042  -0.574780 3.487090 1.715118
-0.574780 3.487090 1.715118  -0.587646 3.358477 2.206042  -0.211658 3.919397 1.523671
-0.587646 3.358477 2.206042  -0.229749 3.791199 2.045722  -0.211658 3.919397 1.523671
-0.587646 3.358477 2.206042  -0.666303 3.153716 2.147183  -0.646310 2.782905 2.427978
-0.335616 1.683378 1.613598  -0.244336 1.573214 1.616478  -0.175810 1.735079 2.160992
-0.502376 1.938029 1.581293  -0.654620 1.631604 1.227791  -0.335616 1.683378 1.613598
-0.654620 1.631604 1.227791  -0.303359 1.482425 1.153166  -0.335616 1.683378 1.613598
-0.335616 1.683378 1.613598  -0.303359 1.482425 1.153166  -0.244336 1.573214 1.616478
-0.303359 1.482425 1.153166  0.000552 1.433362 1.129957  -0.244336 1.573214 1.616478
0.000552 1.433362 1.129957  0.000552 1.502810 1.616589  -0.244336 1.573214 1.616478
-0.244336 1.573214 1.616478  0.000552 1.502810 1.616589  -0.175810 1.735079 2.160992
0.000552 1.502810 1.616589  0.000552 1.730403 2.188779  -0.175810 1.735079 2.160992
-0.175810 1.735079 2.160992  0.000552 1.730403 2.188779  -0.181978 2.052655 2.508585
0.000552 1.730403 2.188779  0.000552 1.962465 2.548237  -0.181978 2.052655 2.508585
-0.915170 2.095121 1.357544  -0.654620 1.631604 1.227791  -0.502376 1.938029 1.581293
-0.235849 1.599002 -0.910583  -0.345571 1.722461 -0.906221  -0.438004 1.862425 -1.381354
-0.438004 1.862425 -1.381354  -0.345571 1.722461 -0.906221  -0.586451 2.019324 -1.400523
-0.586451 2.019324 -1.400523  -0.345571 1.722461 -0.906221  -0.370179 1.816117 -0.898248
-0.370179 1.816117 -0.898248  -0.345571 1.722461 -0.906221  -0.304465 1.772202 -0.492589
-0.345571 1.722461 -0.906221  -0.269470 1.639262 -0.482077  -0.304465 1.772202 -0.492589
-0.304465 1.772202 -0.492589  -0.269470 1.639262 -0.482077  -0.354557 1.553334 -0.135355
-0.269470 1.639262 -0.482077  0.000552 1.464711 -0.138564  -0.354557 1.553334 -0.135355
-0.354557 1.553334 -0.135355  0.000552 1.464711 -0.138564  -0.370953 1.475533 0.383932
0.000552 1.464711 -0.138564  0.000552 1.386762 0.372345  -0.370953 1.475533 0.383932
0.000552 1.386762 0.372345  0.000552 1.433362 1.129957  -0.370953 1.475533 0.383932
0.000552 1.433362 1.129957  -0.303359 1.482425 1.153166  -0.370953 1.475533 0.383932
-0.370953 1.475533 0.383932  -0.303359 1.482425 1.153166  -0.720940 1.618238 0.446802
-0.303359 1.482425 1.153166  -0.654620 1.631604 1.227791  -0.720940 1.618238 0.446802
-0.720940 1.618238 0.446802  -0.654620 1.631604 1.227791  -0.982368 2.181423 0.643922
-0.654620 1.631604 1.227791  -0.915170 2.095121 1.357544  -0.982368 2.181423 0.643922
-0.915170 2.095121 1.357544  -0.721718 3.096043 1.397629  -0.982368 2.181423 0.643922
-0.982368 2.181423 0.643922  -0.721718 3.096043 1.397629  -0.777964 3.237831 0.758569
-0.721718 3.096043 1.397629  -0.436546 3.645169 1.201238  -0.777964 3.237831 0.758569
-0.562559 1.752442 -0.130483  -0.304465 1.772202 -0.492589  -0.354557 1.553334 -0.135355
-0.345571 1.722461 -0.906221  -0.235849 1.599002 -0.910583  -0.269470 1.639262 -0.482077
-0.235849 1.599002 -0.910583  0.000552 1.518757 -0.919755  -0.269470 1.639262 -0.482077
0.000552 1.518757 -0.919755  0.000552 1.577617 -0.479258  -0.269470 1.639262 -0.482077
-0.269470 1.639262 -0.482077  0.000552 1.577617 -0.479258  0.000552 1.464711 -0.138564
-0.194205 3.959343 0.551139  -0.271413 3.855298 0.027048  -0.373811 3.802570 0.592902
-0.373811 3.802570 0.592902  -0.271413 3.855298 0.027048  -0.425413 3.736967 0.097263
-0.271413 3.855298 0.027048  -0.481332 3.501949 -0.395424  -0.425413 3.736967 0.097263
-0.425413 3.736967 0.097263  -0.481332 3.501949 -0.395424  -0.713004 3.220790 -0.250340
-0.481332 3.501949 -0.395424  -0.729837 3.153152 -0.533055  -0.713004 3.220790 -0.250340
-0.729837 3.153152 -0.533055  -0.746673 2.868587 -0.158639  -0.713004 3.220790 -0.250340
-0.713004 3.220790 -0.250340  -0.746673 2.868587 -0.158639  -0.723707 3.283939 0.276013
-0.746673 2.868587 -0.158639  -0.921645 2.408916 0.118200  -0.723707 3.283939 0.276013
-0.723707 3.283939 0.276013  -0.921645 2.408916 0.118200  -0.777964 3.237831 0.758569
-0.777964 3.237831 0.758569  -0.921645 2.408916 0.118200  -0.982368 2.181423 0.643922
-0.921645 2.408916 0.118200  -0.562559 1.752442 -0.130483  -0.982368 2.181423 0.643922
-0.982368 2.181423 0.643922  -0.562559 1.752442 -0.130483  -0.720940 1.618238 0.446802
-0.562559 1.752442 -0.130483  -0.354557 1.553334 -0.135355  -0.720940 1.618238 0.446802
-0.720940 1.618238 0.446802  -0.354557 1.553334 -0.135355  -0.370953 1.475533 0.383932
-0.777964 3.237831 0.758569  -0.373811 3.802570 0.592902  -0.723707 3.283939 0.276013
-0.373811 3.802570 0.592902  -0.425413 3.736967 0.097263  -0.723707 3.283939 0.276013
-0.723707 3.283939 0.276013  -0.425413 3.736967 0.097263  -0.713004 3.220790 -0.250340
-0.746673 2.868587 -0.158639  -0.850093 2.194196 -0.068007  -0.921645 2.408916 0.118200
-0.850093 2.194196 -0.068007  -0.562559 1.752442 -0.130483  -0.921645 2.408916 0.118200
-0.777964 3.237831 0.758569  -0.436546 3.645169 1.201238  -0.373811 3.802570 0.592902
-0.436546 3.645169 1.201238  -0.218287 3.978253 1.038817  -0.373811 3.802570 0.592902
-0.373811 3.802570 0.592902  -0.218287 3.978253 1.038817  -0.194205 3.959343 0.551139
-0.218287 3.978253 1.038817  0.000552 4.022136 1.016413  -0.194205 3.959343 0.551139
0.000552 4.022136 1.016413  0.000552 4.021425 0.509669  -0.194205 3.959343 0.551139
0.000552 4.021425 0.509669  0.000552 3.917003 0.016051  -0.194205 3.959343 0.551139
-0.194205 3.959343 0.551139  0.000552 3.917003 0.016051  -0.271413 3.855298 0.027048
0.000552 3.917003 0.016051  -0.261912 3.631801 -0.488249  -0.271413 3.855298 0.027048
-0.271413 3.855298 0.027048  -0.261912 3.631801 -0.488249  -0.481332 3.501949 -0.395424
-0.261912 3.631801 -0.488249  -0.245134 3.505981 -0.937073  -0.481332 3.501949 -0.395424
-0.481332 3.501949 -0.395424  -0.245134 3.505981 -0.937073  -0.729837 3.153152 -0.533055
-0.729837 3.153152 -0.533055  -0.245134 3.505981 -0.937073  -0.730069 3.080968 -0.987884
-0.245134 3.505981 -0.937073  -0.248932 3.340732 -1.479506  -0.730069 3.080968 -0.987884
-0.730069 3.080968 -0.987884  -0.248932 3.340732 -1.479506  -0.651540 2.766382 -1.442075
0.000552 3.917003 0.016051  0.000552 3.669493 -0.519806  -0.261912 3.631801 -0.488249
-0.261912 3.631801 -0.488249  0.000552 3.669493 -0.519806  -0.245134 3.505981 -0.937073
0.000552 3.669493 -0.519806  0.000552 3.586591 -0.979800  -0.245134 3.505981 -0.937073
-0.245134 3.505981 -0.937073  0.000552 3.586591 -0.979800  -0.248932 3.340732 -1.479506
0.000552 3.420278 -1.478247  -0.248932 3.340732 -1.479506  0.000552 3.586591 -0.979800
0.304554 -0.001132 -0.655089  0.465376 -0.001052 -0.806569  0.293763 -0.001157 -0.520017
0.726384 -0.001092 -0.741893  0.820443 -0.001118 -0.550778  0.465376 -0.001052 -0.806569
0.465376 -0.001052 -0.806569  0.820443 -0.001118 -0.550778  0.293763 -0.001157 -0.520017
0.820443 -0.001118 -0.550778  0.599972 -0.001116 -0.216984  0.293763 -0.001157 -0.520017
0.293763 -0.001157 -0.520017  0.599972 -0.001116 -0.216984  0.386567 -0.001121 -0.316145
0.599972 -0.001116 -0.216984  0.820443 -0.001118 -0.550778  0.762092 -0.001130 -0.309224
0.702144 0.166201 -0.779452  0.485927 0.161306 -0.844175  0.476969 0.278369 -0.873680
0.454034 0.896945 -0.839426  0.748973 0.881122 -0.751650  0.476969 0.278369 -0.873680
0.748973 0.881122 -0.751650  0.711111 0.278369 -0.801841  0.476969 0.278369 -0.873680
