1734
0.751833 0.493294 1.952411  0.577205 0.771970 2.047674  0.736491 0.681684 1.805645
-0.473323 2.381424 4.078608  -0.379497 2.508058 4.098722  -0.490358 2.450869 3.953899
-0.490358 2.450869 3.953899  -0.379497 2.508058 4.098722  -0.475244 2.532567 3.982060
-0.475244 2.532567 3.982060  -0.379497 2.508058 4.098722  -0.440569 2.614266 4.078608
-0.379497 2.508058 4.098722  -0.346531 2.565246 4.171135  -0.440569 2.614266 4.078608
-0.346531 2.565246 4.171135  -0.395785 2.615188 4.174915  -0.440569 2.614266 4.078608
-0.440569 2.614266 4.078608  -0.395785 2.615188 4.174915  -0.484785 2.741410 4.027515
-0.240878 2.921471 4.235474  -0.372782 2.806499 4.164433  -0.218394 2.857950 4.239714
-0.218394 2.857950 4.239714  -0.372782 2.806499 4.164433  -0.333197 2.777731 4.263191
-0.372782 2.806499 4.164433  -0.484785 2.741410 4.027515  -0.333197 2.777731 4.263191
-0.333197 2.777731 4.263191  -0.484785 2.741410 4.027515  -0.314544 2.653193 4.372460
-0.314544 2.653193 4.372460  -0.484785 2.741410 4.027515  -0.346295 2.573416 4.344119
-0.484785 2.741410 4.027515  -0.395785 2.615188 4.174915  -0.346295 2.573416 4.344119
-0.346295 2.573416 4.344119  -0.395785 2.615188 4.174915  -0.332552 2.561161 4.247569
-0.395785 2.615188 4.174915  -0.346531 2.565246 4.171135  -0.332552 2.561161 4.247569
-0.332552 2.561161 4.247569  -0.346531 2.565246 4.171135  -0.360420 2.518811 4.193351
-0.346531 2.565246 4.171135  -0.379497 2.508058 4.098722  -0.360420 2.518811 4.193351
-0.360420 2.518811 4.193351  -0.379497 2.508058 4.098722  -0.370288 2.479463 4.142975
-0.379497 2.508058 4.098722  -0.473323 2.381424 4.078608  -0.370288 2.479463 4.142975
-0.370288 2.479463 4.142975  -0.473323 2.381424 4.078608  -0.355820 2.475378 4.215386
-0.473323 2.381424 4.078608  -0.430304 2.385509 4.275729  -0.355820 2.475378 4.215386
-0.370288 2.479463 4.142975  -0.355820 2.475378 4.215386  -0.360420 2.518811 4.193351
